time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
2.171,2.10417,0,43.96788,1.380665,5.542666,0,0,0.000857282,0.9999996
2.1877,2.176713,0,44.64761,1.379349,5.542776,0,0,0.0008793425,0.9999996
2.2044,2.250811,0,45.33254,1.378053,5.542885,0,0,0.0009012884,0.9999996
2.2211,2.326475,0,46.02266,1.376777,5.542995,0,0,0.000923113,0.9999996
2.2378,2.403715,0,46.71798,1.375521,5.543105,0,0,0.0009448117,0.9999996
2.2545,2.482542,0,47.41848,1.374284,5.543214,0,0,0.0009663801,0.9999995
2.2712,2.562967,0,48.12417,1.373066,5.543324,0,0,0.0009878123,0.9999995
2.2879,2.644999,0,48.83506,1.371867,5.543434,0,0,0.001009104,0.9999995
2.3046,2.728649,0,49.55113,1.370686,5.543543,0,0,0.00103025,0.9999995
2.3213,2.813927,0,50.27239,1.369524,5.543652,0,0,0.001051246,0.9999995
2.338,2.900843,0,50.99884,1.368379,5.543761,0,0,0.001072114,0.9999994
2.3547,2.989407,0,51.73048,1.367253,5.54387,0,0,0.001092827,0.9999994
2.3714,3.079627,0,52.46731,1.366143,5.54398,0,0,0.001113375,0.9999994
2.3881,3.171513,0,53.20933,1.365051,5.544089,0,0,0.001133753,0.9999993
2.4048,3.265075,0,53.95653,1.363975,5.544199,0,0,0.001153959,0.9999993
2.4215,3.360322,0,54.70892,1.362916,5.544307,0,0,0.001173986,0.9999993
2.4382,3.457262,0,55.46649,1.361874,5.544416,0,0,0.001193832,0.9999993
2.4549,3.555904,0,56.22925,1.360847,5.544526,0,0,0.001213492,0.9999993
2.4716,3.656257,0,56.99719,1.359837,5.544634,0,0,0.001232961,0.9999992
2.4883,3.75833,0,57.77032,1.358842,5.544743,0,0,0.001252236,0.9999992
2.505,3.862131,0,58.54863,1.357862,5.544852,0,0,0.001271314,0.9999992
2.5217,3.967669,0,59.33213,1.356897,5.544961,0,0,0.001290188,0.9999992
2.5384,4.074951,0,60.1208,1.355948,5.54507,0,0,0.001308858,0.9999992
2.5551,4.183985,0,60.91466,1.355013,5.545178,0,0,0.001327318,0.9999991
2.5718,4.29478,0,61.7137,1.354092,5.545287,0,0,0.001345564,0.9999991
2.5885,4.407343,0,62.51793,1.353186,5.545396,0,0,0.001363594,0.999999
2.6052,4.521683,0,63.32733,1.352293,5.545505,0,0,0.001381404,0.999999
2.6219,4.637806,0,64.14191,1.351414,5.545613,0,0,0.00139899,0.999999
2.6386,4.755721,0,64.96167,1.350549,5.545722,0,0,0.001416349,0.999999
2.6553,4.875433,0,65.78661,1.349697,5.54583,0,0,0.001433477,0.999999
2.672,4.996952,0,66.61674,1.348859,5.545938,0,0,0.001450372,0.9999989
2.6887,5.120284,0,67.45204,1.348033,5.546046,0,0,0.00146703,0.9999989
2.7054,5.245435,0,68.29252,1.34722,5.546155,0,0,0.001483448,0.9999989
2.7221,5.372414,0,69.13818,1.34642,5.546263,0,0,0.001499622,0.9999989
2.7388,5.501226,0,69.98901,1.345632,5.546371,0,0,0.001515551,0.9999989
2.7555,5.631878,0,70.84503,1.344856,5.54648,0,0,0.001531231,0.9999988
2.7722,5.764379,0,71.70622,1.344092,5.546587,0,0,0.001546658,0.9999988
2.7889,5.898732,0,72.57259,1.34334,5.546696,0,0,0.001561831,0.9999988
2.8056,6.034946,0,73.44414,1.342599,5.546804,0,0,0.001576746,0.9999987
2.8223,6.173027,0,74.32086,1.34187,5.546912,0,0,0.001591401,0.9999987
2.839,6.312979,0,75.20276,1.341152,5.547019,0,0,0.001605793,0.9999987
2.8557,6.454811,0,76.08984,1.340445,5.547128,0,0,0.00161992,0.9999987
2.8724,6.598528,0,76.98209,1.339749,5.547235,0,0,0.001633778,0.9999987
2.8891,6.744136,0,77.87952,1.339064,5.547343,0,0,0.001647366,0.9999986
2.9058,6.891641,0,78.78212,1.33839,5.547451,0,0,0.001660681,0.9999986
2.9225,7.041048,0,79.6899,1.337726,5.547558,0,0,0.00167372,0.9999986
2.9392,7.192363,0,80.60285,1.337072,5.547666,0,0,0.001686481,0.9999986
2.9559,7.345592,0,81.52098,1.336428,5.547774,0,0,0.001698963,0.9999986
2.9726,7.500741,0,82.44428,1.335794,5.547881,0,0,0.001711162,0.9999985
2.9893,7.657815,0,83.37276,1.33517,5.547989,0,0,0.001723076,0.9999985
3.006,7.81682,0,84.30641,1.334555,5.548096,0,0,0.001734704,0.9999985
3.0227,7.977759,0,85.24524,1.33395,5.548204,0,0,0.001746044,0.9999985
3.0394,8.140639,0,86.18925,1.333355,5.548311,0,0,0.001757093,0.9999985
3.0561,8.305466,0,87.13842,1.332768,5.548419,0,0,0.001767849,0.9999985
3.0728,8.472243,0,88.09277,1.332191,5.548526,0,0,0.00177831,0.9999984
3.0895,8.640977,0,89.05229,1.331622,5.548633,0,0,0.001788475,0.9999984
3.1062,8.811671,0,90.01699,1.331062,5.54874,0,0,0.001798341,0.9999984
3.1229,8.98433,0,90.98686,1.330511,5.548847,0,0,0.001807907,0.9999984
3.1396,9.15896,0,91.96191,1.329969,5.548954,0,0,0.001817171,0.9999983
3.1563,9.335567,0,92.94213,1.329435,5.549061,0,0,0.001826132,0.9999983
3.173,9.514152,0,93.92753,1.328909,5.549168,0,0,0.001834787,0.9999983
3.1897,9.69472,0,94.91809,1.328391,5.549275,0,0,0.001843136,0.9999983
3.2064,9.877278,0,95.91383,1.327881,5.549382,0,0,0.001851176,0.9999983
3.2231,10.06183,0,96.91475,1.327379,5.549489,0,0,0.001858905,0.9999983
3.2398,10.24838,0,97.92084,1.326885,5.549595,0,0,0.001866324,0.9999983
3.2565,10.43693,0,98.9321,1.326398,5.549703,0,0,0.001873429,0.9999983
3.2732,10.62748,0,99.94854,1.325919,5.549809,0,0,0.00188022,0.9999982
3.2899,10.82005,0,100.9701,1.325448,5.549916,0,0,0.001886696,0.9999982
3.3066,11.01463,0,101.9969,1.324983,5.550022,0,0,0.001892854,0.9999982
3.3233,11.21123,0,103.0289,1.324526,5.550129,0,0,0.001898694,0.9999982
3.34,11.40985,0,104.066,1.324076,5.550235,0,0,0.001904214,0.9999982
3.3567,11.61049,0,105.1083,1.323633,5.550342,0,0,0.001909413,0.9999982
3.3734,11.81317,0,106.1558,1.323196,5.550448,0,0,0.001914291,0.9999982
3.3901,12.01788,0,107.2085,1.322767,5.550555,0,0,0.001918845,0.9999982
3.4068,12.22463,0,108.2663,1.322344,5.550661,0,0,0.001923075,0.9999982
3.4235,12.43341,0,109.3293,1.321927,5.550767,0,0,0.00192698,0.9999982
3.4402,12.64425,0,110.3975,1.321517,5.550874,0,0,0.001930559,0.9999982
3.4569,12.85713,0,111.4708,1.321114,5.55098,0,0,0.00193381,0.9999982
3.4736,13.07206,0,112.5493,1.320716,5.551086,0,0,0.001936733,0.9999982
3.4903,13.28904,0,113.633,1.320325,5.551192,0,0,0.001939327,0.9999981
3.507,13.50809,0,114.7219,1.31994,5.551298,0,0,0.00194159,0.9999981
3.5237,13.72919,0,115.816,1.31956,5.551404,0,0,0.001943523,0.9999981
3.5404,13.95236,0,116.9152,1.319187,5.55151,0,0,0.001945125,0.9999981
3.5571,14.1776,0,118.0196,1.318819,5.551615,0,0,0.001946393,0.9999981
3.5738,14.40491,0,119.1292,1.318457,5.551722,0,0,0.001947329,0.9999981
3.5905,14.6343,0,120.2439,1.318101,5.551827,0,0,0.00194793,0.9999981
3.6072,14.86576,0,121.3638,1.31775,5.551933,0,0,0.001948197,0.9999981
3.6239,15.0993,0,122.489,1.317405,5.552039,0,0,0.001948128,0.9999981
3.6406,15.33492,0,123.6192,1.317064,5.552145,0,0,0.001947724,0.9999981
3.6573,15.57263,0,124.7547,1.31673,5.55225,0,0,0.001946982,0.9999981
3.674,15.81243,0,125.8953,1.3164,5.552355,0,0,0.001945904,0.9999981
3.6907,16.05432,0,127.0411,1.316075,5.552461,0,0,0.001944488,0.9999981
3.7074,16.29831,0,128.1921,1.315756,5.552567,0,0,0.001942734,0.9999981
3.7241,16.54439,0,129.3483,1.315441,5.552672,0,0,0.001940642,0.9999981
3.7408,16.79258,0,130.5096,1.315131,5.552777,0,0,0.00193821,0.9999981
3.7575,17.04286,0,131.6761,1.314826,5.552882,0,0,0.001935438,0.9999982
3.7742,17.29525,0,132.8478,1.314526,5.552988,0,0,0.001932327,0.9999982
3.7909,17.54975,0,134.0247,1.314231,5.553093,0,0,0.001928876,0.9999982
3.8076,17.80636,0,135.2067,1.31394,5.553198,0,0,0.001925084,0.9999982
3.8243,18.06508,0,136.394,1.313653,5.553303,0,0,0.001920951,0.9999982
3.841,18.32592,0,137.5864,1.313371,5.553408,0,0,0.001916476,0.9999982
3.8577,18.58887,0,138.784,1.313093,5.553513,0,0,0.00191166,0.9999982
3.8744,18.85394,0,139.9867,1.31282,5.553618,0,0,0.001906503,0.9999982
3.8911,19.12114,0,141.1947,1.312551,5.553723,0,0,0.001901003,0.9999982
3.9078,19.39046,0,142.4078,1.312286,5.553828,0,0,0.001895161,0.9999982
3.9245,19.66191,0,143.6261,1.312025,5.553933,0,0,0.001888977,0.9999982
3.9412,19.93548,0,144.8496,1.311768,5.554038,0,0,0.001882451,0.9999982
3.9579,20.21119,0,146.0782,1.311515,5.554142,0,0,0.001875581,0.9999982
3.9746,20.48903,0,147.3121,1.311266,5.554247,0,0,0.00186837,0.9999983
3.9913,20.769,0,148.5511,1.311021,5.554351,0,0,0.001860815,0.9999983
4.008,21.05111,0,149.7953,1.31078,5.554456,0,0,0.001852918,0.9999983
4.0247,21.33536,0,151.0447,1.310542,5.554561,0,0,0.001844678,0.9999983
4.0414,21.62175,0,152.2993,1.310308,5.554665,0,0,0.001836095,0.9999983
4.0581,21.91029,0,153.559,1.310078,5.55477,0,0,0.001827169,0.9999983
4.0748,22.20097,0,154.824,1.309851,5.554874,0,0,0.0018179,0.9999983
4.0915,22.49379,0,156.0941,1.309628,5.554978,0,0,0.001808289,0.9999984
4.1082,22.78876,0,157.3694,1.309408,5.555082,0,0,0.001798334,0.9999984
4.1249,23.08589,0,158.6499,1.309192,5.555187,0,0,0.001788038,0.9999984
4.1416,23.38516,0,159.9355,1.308979,5.555291,0,0,0.001777399,0.9999984
4.1583,23.68659,0,161.2264,1.308769,5.555395,0,0,0.001766417,0.9999985
4.175,23.99018,0,162.5224,1.308563,5.555499,0,0,0.001755094,0.9999985
4.1917,24.29592,0,163.8237,1.30836,5.555603,0,0,0.001743428,0.9999985
4.2084,24.60382,0,165.1301,1.30816,5.555707,0,0,0.001731421,0.9999985
4.2251,24.91388,0,166.4417,1.307963,5.555811,0,0,0.001719072,0.9999985
4.2418,25.2261,0,167.7584,1.307769,5.555915,0,0,0.001706382,0.9999986
