time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,alpha_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized,thrust_N,cp_from_nose_m,Fg_x_N,Fg_z_N,F_aero_x_N,F_aero_z_N,NormalForceAero_N,AxialForceAero_N,Drag_N,Lift_N
44.3833333333333,31.4010574010558,0,4020.72933475651,1.57057190451296,0.0044027635916136,3.920042,0,0,-0.00142445819228131,0.91808760175294,25339.2178083812,1.3055092,-14066.7841803998,3.15689985834364,-939.511212400661,32.7866835883841,32.7866835883841,-939.511212400661,939.511212400661,32.7866835883841
44.4,31.4174836358779,0,4024.28020535898,1.57057202546785,0.00440039516965572,3.920022,0,0,-0.00142471734126504,0.918126265009942,25340.2849142744,1.3055092,-14065.1334601016,3.15482815305066,-940.218391399956,32.7937118969781,32.7937118969781,-940.218391399956,940.218391399956,32.7937118969781
44.4166666666667,31.4339102898601,0,4027.83307784675,1.57057214619034,0.00439802831001333,3.920003,0,0,-0.00142497583979572,0.918164935558608,25341.3522214176,1.3055092,-14063.4831337234,3.15276020396915,-940.925604523572,32.8007264952954,32.8007264952954,-940.925604523572,940.925604523572,32.8007264952954
44.4333333333333,31.4503373622864,0,4031.38795281797,1.57057226665543,0.004395662986218,3.919984,0,0,-0.00142523362551358,0.91820361338526,25342.4197294332,1.3055092,-14061.8332012641,3.15069636092199,-941.632851138544,32.8077271884026,32.8077271884026,-941.632851138544,941.632851138544,32.8077271884026
44.45,31.4667648524473,0,4034.94483089486,1.57057238687736,0.00439329921094605,3.919965,0,0,-0.00142549079879381,0.918242298476297,25343.4874379458,1.3055092,-14060.1824654726,3.14863615450143,-942.340130599701,32.8147140724611,32.8147140724611,-942.340130599701,942.340130599701,32.8147140724611
44.4666666666667,31.4831927596397,0,4038.50371272397,1.57057250685786,0.00439093698426652,3.919946,0,0,-0.00142574734731058,0.918280990818198,25344.5553465823,1.3055092,-14058.5329217668,3.14658000589382,-943.04744230062,32.8216871507605,32.8216871507605,-943.04744230062,943.04744230062,32.8216871507605
44.4833333333333,31.4996210831517,0,4042.06459890397,1.57057262659163,0.00438857629895277,3.919927,0,0,-0.0014260032327515,0.918319769572151,25345.6256401914,1.3055092,-14056.8821756478,3.14452745238332,-943.754785709666,32.828646375302,32.828646375302,-943.754785709666,943.754785709666,32.828646375302
44.5,31.5160498222774,0,4045.62749005807,1.57057274603731,0.00438621711174898,3.919908,0,0,-0.0014262582834087,0.918358579189692,25346.6967856355,1.3055092,-14055.2326216126,3.14247960988999,-944.462160329034,32.8355914291074,32.8355914291074,-944.462160329034,944.462160329034,32.8355914291074
44.5166666666667,31.5324789763177,0,4049.19238683386,1.57057286521179,0.00438385943809044,3.919889,0,0,-0.00142651271368205,0.918397396036377,25347.768130604,1.3055092,-14053.5818651674,3.14043570424025,-945.169565572096,32.8425224305599,32.8425224305599,-945.169565572096,945.169565572096,32.8425224305599
44.5333333333333,31.5489085445651,0,4052.75928983105,1.57057298414852,0.00438150330971814,3.91987,0,0,-0.00142676660037254,0.918436220098447,25348.8396747171,1.3055092,-14051.9311035605,3.13839553155554,-945.877000792919,32.8494396192589,32.8494396192589,-945.877000792919,945.877000792919,32.8494396192589
