time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
3.33,15.32029,0,102.4479,1.121026,5.550172,0,0,0.005175066
3.34,15.50214,0,103.0519,1.120253,5.550235,0,0,0.005198846
3.35,15.6853,0,103.6576,1.119487,5.550299,0,0,0.005222394
3.36,15.86978,0,104.265,1.118729,5.550363,0,0,0.005245709
3.37,16.05557,0,104.874,1.117977,5.550426,0,0,0.005268792
3.38,16.24269,0,105.4847,1.117233,5.55049,0,0,0.00529164
3.39,16.43112,0,106.097,1.116495,5.550554,0,0,0.005314253
3.4,16.62087,0,106.711,1.115764,5.550618,0,0,0.005336631
3.41,16.81194,0,107.3266,1.11504,5.550682,0,0,0.005358773
3.42,17.00435,0,107.9439,1.114323,5.550745,0,0,0.005380678
3.43,17.19808,0,108.5629,1.113612,5.550808,0,0,0.005402346
3.44,17.39314,0,109.1834,1.112908,5.550872,0,0,0.005423775
3.45,17.58954,0,109.8057,1.11221,5.550936,0,0,0.005444966
3.46,17.78727,0,110.4296,1.111519,5.550999,0,0,0.005465919
3.47,17.98634,0,111.0551,1.110834,5.551063,0,0,0.005486631
3.48,18.18674,0,111.6823,1.110156,5.551126,0,0,0.005507102
3.49,18.38849,0,112.3111,1.109484,5.55119,0,0,0.005527334
3.5,18.59158,0,112.9415,1.108818,5.551253,0,0,0.005547323
3.51,18.79601,0,113.5736,1.108159,5.551317,0,0,0.00556707
3.52,19.00179,0,114.2074,1.107505,5.55138,0,0,0.005586574
3.53,19.20892,0,114.8428,1.106858,5.551444,0,0,0.005605836
3.54,19.4174,0,115.4798,1.106216,5.551507,0,0,0.005624854
3.55,19.62723,0,116.1185,1.10558,5.55157,0,0,0.005643627
3.56,19.83842,0,116.7588,1.104951,5.551634,0,0,0.005662156
3.57,20.05096,0,117.4007,1.104327,5.551697,0,0,0.00568044
3.58,20.26486,0,118.0443,1.103709,5.551761,0,0,0.005698478
